infrastructure_cluster,threat_cluster,target,n_rows,n_positive,pos_rate,train_size,val_size,test_size,val_roc_auc,val_pr_auc,val_f1,test_roc_auc,test_pr_auc,test_f1,best_iteration,horizon
1,1,target_next_24h,1088,64,0.0588,761,163,164,0.7685,0.3105,0.3902,0.4737,0.0641,0.1132,4,24h
1,2,target_next_24h,1088,69,0.0634,761,163,164,0.4581,0.0892,0.0667,0.4997,0.0634,0.0,45,24h
1,3,target_next_24h,1088,66,0.0607,761,163,164,0.6284,0.2203,0.1818,0.4106,0.0676,0.0,42,24h
1,4,target_next_24h,1088,90,0.0827,761,163,164,0.6211,0.0954,0.0,0.4094,0.1311,0.1053,9,24h
1,5,target_next_24h,1088,82,0.0754,761,163,164,0.5233,0.0947,0.1096,0.6541,0.1052,0.1951,0,24h
1,6,target_next_24h,1088,62,0.057,761,163,164,0.6772,0.1881,0.0,0.3743,0.0636,0.0541,49,24h
2,1,target_next_24h,1088,79,0.0726,761,163,164,0.5772,0.1161,0.1707,0.5707,0.0849,0.1351,1,24h
2,2,target_next_24h,1088,79,0.0726,761,163,164,0.5853,0.0925,0.1389,0.4877,0.0921,0.125,2,24h
2,3,target_next_24h,1088,97,0.0892,761,163,164,0.5586,0.1309,0.0,0.5094,0.1578,0.1333,41,24h
2,4,target_next_24h,1088,113,0.1039,761,163,164,0.5642,0.1251,0.1667,0.4812,0.0844,0.1439,5,24h
2,5,target_next_24h,1088,87,0.08,761,163,164,0.676,0.1666,0.1,0.5085,0.0823,0.1446,15,24h
2,6,target_next_24h,1088,64,0.0588,761,163,164,0.5573,0.0658,0.0889,0.3408,0.0539,0.0674,1,24h
3,1,target_next_24h,1088,65,0.0597,761,163,164,0.6927,0.0409,0.0,0.5238,0.0851,0.0,2,24h
3,2,target_next_24h,1088,91,0.0836,761,163,164,0.6109,0.1014,0.0,0.4252,0.0747,0.0,16,24h
3,3,target_next_24h,1088,82,0.0754,761,163,164,0.5615,0.104,0.0513,0.457,0.0931,0.1176,33,24h
3,4,target_next_24h,1088,94,0.0864,761,163,164,0.5558,0.1145,0.1471,0.6706,0.1439,0.0896,4,24h
3,5,target_next_24h,1088,76,0.0699,761,163,164,0.5907,0.0689,0.1053,0.5472,0.1109,0.0952,13,24h
3,6,target_next_24h,1088,71,0.0653,761,163,164,0.5874,0.1255,0.0,0.4528,0.0655,0.0755,22,24h
4,1,target_next_24h,1088,69,0.0634,761,163,164,0.9472,0.1458,0.1818,0.3398,0.0707,0.087,37,24h
4,2,target_next_24h,1088,79,0.0726,761,163,164,0.504,0.1096,0.0513,0.5193,0.0687,0.12,1,24h
4,3,target_next_24h,1088,69,0.0634,761,163,164,0.4044,0.0297,0.0404,0.5101,0.0963,0.1688,4,24h
4,4,target_next_24h,1088,81,0.0744,761,163,164,0.5782,0.1298,0.1579,0.5136,0.0722,0.1,78,24h
4,5,target_next_24h,1088,57,0.0524,761,163,164,0.6794,0.1669,0.0,0.4327,0.0449,0.0,40,24h
4,6,target_next_24h,1088,63,0.0579,761,163,164,0.6395,0.1266,0.0,0.5789,0.0767,0.0,25,24h
