infrastructure_cluster,threat_cluster,best_model,val_macro_f1,test_macro_f1,val_weighted_f1,test_weighted_f1,val_accuracy,test_accuracy
1,1,CatBoost,0.380017843918938,0.1966414265255346,0.3853357159467128,0.3093048313388667,0.3865030674846625,0.3475609756097561
1,2,LightGBM,0.2090997511193602,0.1172413793103448,0.2264066651018353,0.2680824222035324,0.2883435582822086,0.4146341463414634
1,3,LightGBM,0.3105448789702535,0.1002609262883235,0.3271834740786482,0.156056592366315,0.3742331288343558,0.2012195121951219
1,4,CatBoost,0.2591064638289405,0.3022998798995769,0.2805361024762425,0.3983299886689052,0.2883435582822086,0.4390243902439024
1,5,LightGBM,0.2953605200945627,0.2121141375037876,0.3642520196086963,0.2267581593781823,0.4233128834355828,0.2439024390243902
1,6,CatBoost,0.3750176187371152,0.135555622299378,0.5531227602808023,0.1626933747607356,0.6073619631901841,0.1646341463414634
2,1,CatBoost,0.3044617595622738,0.29747498099543,0.3385487211829433,0.3104837410219107,0.3312883435582822,0.4024390243902439
2,2,CatBoost,0.3483435738667936,0.1571097977939377,0.3823702985081169,0.1618850330415756,0.4110429447852761,0.1585365853658536
2,3,LightGBM,0.1686756216203745,0.1754513778904022,0.1664597811473672,0.1939022458802351,0.1901840490797546,0.2439024390243902
2,4,LightGBM,0.2372083092784209,0.1867029395226049,0.2493999658545465,0.1974032679137953,0.2699386503067484,0.2073170731707317
2,5,CatBoost,0.303777797250287,0.1944601614452568,0.3348640128659049,0.2262441635738221,0.3865030674846625,0.2317073170731707
2,6,CatBoost,0.3174350966440215,0.1710649350649351,0.3983393206846709,0.3020890085524232,0.3926380368098159,0.4390243902439024
3,1,LightGBM,0.2467853822498748,0.1821588217118138,0.6310282994819739,0.2406772443973281,0.656441717791411,0.3109756097560975
3,2,LightGBM,0.2639017169239863,0.1321327683615819,0.3318849726802417,0.1527555291442744,0.3742331288343558,0.2195121951219512
3,3,LightGBM,0.1991558690066152,0.1380375081817923,0.2625033666696518,0.1557576044683865,0.2699386503067484,0.1646341463414634
3,4,LightGBM,0.2095704203306866,0.1710759129729831,0.2307810811646018,0.1143923953674125,0.2392638036809816,0.1585365853658536
3,5,LightGBM,0.1807475199989892,0.1110886684452288,0.2186745748083106,0.1295983108423745,0.2147239263803681,0.1280487804878048
3,6,LightGBM,0.2262364562841036,0.1945180700002171,0.2426792340879019,0.1762200599654617,0.2392638036809816,0.2012195121951219
4,1,CatBoost,0.2268053888949492,0.1495639060393158,0.5009969241497744,0.1687285799965728,0.4110429447852761,0.2195121951219512
4,2,CatBoost,0.2152884842311848,0.1370094531430128,0.2154626077174556,0.129019518227629,0.2760736196319018,0.1524390243902439
4,3,CatBoost,0.3224407247994049,0.1343760483893574,0.4828718528494078,0.1226847736376642,0.4601226993865031,0.1524390243902439
4,4,LightGBM,0.291352594948654,0.2657997832194405,0.3064162920384021,0.2929437181497198,0.3128834355828221,0.2865853658536585
4,5,CatBoost,0.3391428571428571,0.340624762056729,0.3758895705521473,0.5682962712961991,0.4478527607361963,0.5426829268292683
4,6,CatBoost,0.3149396188083361,0.2311137149198852,0.3376644628841769,0.3733843239723414,0.4171779141104294,0.4085365853658536
